token,label,PMI,token_en
@gr4youdontlike,negative,1.903807662450311,@gr4youdontlike
@gushaz28,negative,1.903807662450311,@gushaz28
@harare,positive,3.14359980899856,@harare
@hellen,neutral,3.8704435543378155,@hellen
@hermanmashaba,negative,1.903807662450311,@hermanmashaba
@iammisstc,positive,2.9509547310561643,@iammisstc
@imnotaforeigner,positive,3.14359980899856,@IMNOTAFEIGNER
@irvinesz,positive,3.1435998089985606,@IRVINESZ
@ishemagos,neutral,3.8704435543378155,@ishemagos
@itsstartup,neutral,4.092835975674263,@itsstartup
@jaisonshazhiwe,neutral,3.9408328822292136,@jaisonshazhiwe
@joebiden,positive,2.937148931531134,@joebiden
@kaviyagertrude,neutral,3.8704435543378155,@kaviyagertrude
@kingmhare1,negative,1.903807662450311,@kingmhare1
@kudakwaishe19,positive,3.14359980899856,@ to Revhebesa19
@ladenraww,neutral,4.092835975674263,@ladenraww
@leninroger,neutral,3.9408328822292136,@leninroger
@lisah,negative,1.903807662450311,@lisah
@lordsalisburry,negative,1.903807662450311,@lordsalisburry
@lovemore070,neutral,4.092835975674263,@lovemore070
@lovenesssilenje,negative,1.903807662450311,@lovenessSilenje
@luciferstar,neutral,4.355870381508057,@luciferstar
@lyn,negative,1.903807662450311,@lyn
@machenjerap,positive,3.14359980899856,@machenjerap
@madhube01,negative,1.9038076624503113,@KUBUBU01
@maluvamalvern,positive,3.14359980899856,@maluvamalvern
@marrionmubawu,neutral,4.13347796017161,@marrionmubawu
@marthasekeramay,negative,1.903807662450311,@marthasekeramay
@marvelous,neutral,4.092835975674263,@marvelous
@mavasaobey,negative,1.903807662450311,@mavaxobey
@mcchenje,negative,1.903807662450311,@mcchenje
@messangerbro,neutral,4.355870381508057,@messangerbro
@mhtestd,positive,3.14359980899856,@mhtestd
@mhungu,negative,1.9038076624503113,@
@mhurirofarai,neutral,3.8704435543378155,@sharaw
@michaelbucwa,neutral,4.355870381508057,@michaelbucwa
@missv,positive,2.9509547310561643,@missv
@mitchie,positive,3.1435998089985606,@mitchie
@munamati7,negative,1.903807662450311,@ is a worshiper7
@ndauvarsity,positive,3.14359980899856,@ndauvarsity
@netonecellular,negative,1.903807662450311,@netonerellular
@ngpindemukomana,negative,1.903807662450311,@gil
@nicksonmpofu,negative,1.903807662450311,@nicksonmofu
@noth,positive,2.973674807556248,@noth
@omasaraure,neutral,3.993300302123349,@sover
@oppamuchinguri,negative,1.903807662450311,@oppamuchinguri
@peemix01,negative,1.903807662450311,@peemix01
@phillip,neutral,4.3558703815080575,@phillip
@piersmorgan,neutral,3.8704435543378155,@piersmorgan
@rachel,negative,1.903807662450311,@rachel
@realhusband1,negative,1.903807662450311,@Realhusband1
@redmarketsunday,positive,3.14359980899856,@redmarketsunday
@richardtawanda,negative,1.903807662450311,@richardtawanda
@rno,neutral,4.092835975674263,@rno
@rufarorufaro7,positive,2.9212073876621125,@ rife happy7
@rutendocindy,negative,1.903807662450311,@ricutocindy
@ruth9027,neutral,3.8704435543378155,@ruth9027
@sabhuku,neutral,3.993300302123349,@sa book
@sarahtaye81,neutral,3.8704435543378155,@sarahtaye81
@shanon,negative,1.9038076624503113,@shanon
@shariwa,positive,2.9212073876621125,@shariwa
@sharlene898,neutral,3.8704435543378155,@sharlene898
@sheconquers4,neutral,3.993300302123349,@sheconquers4
@sibert,neutral,3.8704435543378155,@sibert
@sire,negative,1.903807662450311,@sire
@slender,negative,1.903807662450311,@slender
@smangovacho,negative,1.903807662450311,@smangovacho
@takudzwa0117,negative,1.903807662450311,@ Archeo 0117
@takudzwamac,negative,1.903807662450311,@taignumac
@talemagara,negative,1.903807662450311,@talemagara
@tamiswa,negative,1.903807662450311,@Topped
@tapiwamunjoma,negative,1.903807662450311,@tor-adjustment
@tawandachiware3,negative,1.903807662450311,@ Tawchyware3
@tawazwilson,neutral,4.092835975674263,@tawazwilson
@tcnemaungwe,positive,3.14359980899856,@tcnemangwe
@teachers,positive,3.14359980899856,@teachers
@teemadzika,positive,2.9212073876621125,@temadzika
@thaslickpastor,neutral,4.066363764313072,@thaslickpastor
@theavengerzwl,neutral,4.203867288063007,@theavengerzwl
@therealbigtee1,neutral,4.092835975674263,@therealbigtee1
@tichafatmudzana,negative,1.903807662450311,@chaafatology
@tinashechirape,positive,3.1435998089985606,@stinachchipe
@tinei2010,neutral,3.9773587582543275,@Tinei2010
@tinotendaphile2,neutral,4.3558703815080575,@ we have augeepho2
@tirimusango,negative,1.903807662450311,@Vivobu
@tonde,neutral,3.8704435543378155,@tonde
@vagudo11,positive,2.9509547310561643,@vagudo11
@villageman263,neutral,4.3558703815080575,@villageman263
@wezhex,negative,1.903807662450311,@wezhex
@whatsup,neutral,4.092835975674263,@whatsup
@yellowzimbabwe,negative,1.903807662450311,@yellowzimbabwe
@zimta01,positive,3.14359980899856,@zimta01
@zse,positive,3.14359980899856,@Zse
@zwolugazwothed,neutral,4.355870381508057,@zwolugazwothed
abuser,negative,1.903807662450311,abuser
achahwina,positive,3.1435998089985606,will win
acharamba,positive,3.14359980899856,will remain
achitadza,negative,1.903807662450311,sinning
adeepisa,negative,1.903807662450311,adepisa
adzingwa,neutral,4.092835975674263,is dismissed
agadzirise,negative,1.903807662450311,correct
agent,negative,1.903807662450311,agent
ahead,positive,3.14359980899856,ahead
ain,negative,1.903807662450311,ain
aitwa,neutral,4.13347796017161,was made
akafanana,neutral,3.9408328822292136,the same
akahwina,positive,2.9509547310561643,he won
akajeka,positive,3.14359980899856,it is clear
akakundikana,positive,2.8805654031647667,failed
akangofanana,negative,1.903807662450311,he's just the same
akanyarara,neutral,4.092835975674263,quiet
akapera,negative,1.903807662450311,ended
akapfuma,neutral,4.355870381508057,he is rich
akapusa,negative,1.903807662450311,stupid
akaromba,negative,1.903807662450311,she rocked
akarwa,neutral,4.092835975674263,fought
akatadza,neutral,4.163225303565661,he failed
akataurirwa,neutral,3.8704435543378155,was told
akuna,neutral,4.092835975674263,No
akusi,neutral,3.8704435543378155,It's not
akutonzi,negative,1.903807662450311,utichi
amo,positive,3.14359980899856,amo
ando,positive,2.973674807556248,ando
andy,positive,2.9509547310561643,andy
anedzungu,negative,1.903807662450311,Show
anemakore,neutral,4.092835975674263,she is a cloudy
anobika,neutral,4.3558703815080575,cooks
anodhura,negative,1.903807662450311,is expensive
anokunda,positive,3.1435998089985606,wins
anonwa,neutral,4.355870381508057,drinking
anonyepa,negative,1.903807662450311,he is lying
anosvika,positive,2.9212073876621125,up to
anytime,neutral,3.8704435543378155,anytime
apartment,positive,2.973674807556248,apartment
area,positive,2.9212073876621125,area
arikupi,neutral,4.092835975674263,where is he
arikurova,positive,3.1435998089985606,he is striking
asingazive,negative,1.903807662450311,unconscious
atadza,negative,1.903807662450311,has failed
atone,positive,3.1435998089985606,atone
attacking,neutral,4.163225303565661,attacking
auction,neutral,3.9408328822292136,auction
avalon,positive,3.14359980899856,Avalon
avenue,positive,2.9915967155535106,avenue
award,neutral,4.355870381508057,award
aye,neutral,4.066363764313072,aye
banking,neutral,3.8704435543378155,banking
bans,neutral,4.13347796017161,bans
bbe,negative,1.903807662450311,bbe
beat,positive,2.9212073876621125,beat
bhule,positive,3.1435998089985606,bhule
billion,negative,1.903807662450311,billion
blaming,positive,2.8805654031647667,blaming
blind,negative,1.903807662450311,blind
bloody,negative,1.903807662450311,bloody
bodo,positive,3.0060962852486255,will
bonyora,negative,1.903807662450311,bother
bra,positive,3.14359980899856,bra
bread,positive,3.1435998089985606,bread
brooke,positive,3.1435998089985606,brooke
buat,neutral,4.3558703815080575,create
budiriro,positive,2.973674807556248,success
bulilima,positive,3.1435998089985606,Bulalalima
buri,neutral,4.092835975674263,buri
butcheries,positive,3.14359980899856,butcheries
candy,positive,2.9915967155535106,candy
ccczimbabwe,negative,1.903807662450311,CCCCGAH
chairi,negative,1.903807662450311,chairi
chaita,positive,2.8805654031647667,it has done
chakanaka,positive,3.14359980899856,good
chakazara,neutral,4.092835975674263,full
channel,positive,3.14359980899856,channel
charity,negative,1.903807662450311,charity
chavanofunga,negative,1.903807662450311,what they think
cheat,negative,1.903807662450311,cheat
chegumi,positive,3.14359980899856,tenth
cheku,negative,1.903807662450311,of
chezimbabwe,positive,2.973674807556248,of Zimbabwe
chibhoyi,neutral,3.8704435543378155,a goy
chichauraya,negative,1.903807662450311,chichauraya
chigodo,neutral,4.3558703815080575,a jealousy
chiii,negative,1.9038076624503113,what
chikomba,positive,3.1435998089985606,the bride
chimoko,negative,1.903807662450311,it is
chimukai,negative,1.9038076624503113,arise
chinoita,positive,3.1435998089985606,makes
chirega,negative,1.903807662450311,stop
chirongwa,positive,3.14359980899856,a plan
chivanhu,positive,3.14359980899856,people
chivharo,neutral,4.092835975674263,cover
chokuba,negative,1.903807662450311,to steal
chopenga,neutral,4.092835975674263,crazy
christ,negative,1.903807662450311,christ
cluster,positive,3.14359980899856,cluster
cold,positive,2.9212073876621125,cold
college,positive,2.9509547310561643,college
common,positive,3.1435998089985606,common
condevproperty,positive,2.973674807556248,condevproperty
confessions,negative,1.903807662450311,confessions
congrats,positive,3.1435998089985606,congrats
context,neutral,3.9408328822292136,context
cottage,positive,3.14359980899856,cottage
coventry,negative,1.903807662450311,coventry
cr7,neutral,4.092835975674263,cr7
cyber,positive,3.1435998089985606,cyber
damn,neutral,4.092835975674263,damn
davi,negative,1.903807662450311,davi
deadly,neutral,3.8704435543378155,deadly
december,positive,3.0060962852486255,december
define,neutral,3.8704435543378155,define
dhodhi,negative,1.903807662450311,dhoti
diaries,neutral,4.13347796017161,diaries
direct,neutral,3.8704435543378155,direct
district,positive,2.9509547310561643,district
dj,neutral,3.993300302123349,dj
double,neutral,3.8704435543378155,double
drawing,neutral,4.3558703815080575,drawing
dreams,neutral,4.092835975674263,dreams
driving,positive,3.14359980899856,driving
dry,positive,3.14359980899856,dry
duramazwi,positive,3.14359980899856,dictionary
dza,neutral,4.163225303565661,what
dzanga,negative,1.903807662450311,were
dzekwababa,negative,1.903807662450311,father
dzevamwe,neutral,4.092835975674263,of others
dzidzai,neutral,4.163225303565661,learn
dzikamai,neutral,4.13347796017161,cough
dzinoti,positive,2.9509547310561643,they say
dzirimo,neutral,3.8704435543378155,There are
dziripo,positive,2.9212073876621125,are there
ecocash,neutral,4.092835975674263,ecocash
edzimba,positive,2.9212073876621125,houses
effort,positive,2.9212073876621125,effort
eharare,positive,3.1435998089985606,In Harare
ehee,negative,1.903807662450311,hence
ejm,negative,1.903807662450311,ehm
ekare,negative,1.903807662450311,old
ele,positive,3.14359980899856,he
emunhumutapa,positive,3.018068926914702,for a plot
english,positive,3.1435998089985606,english
entry,positive,3.14359980899856,entry
esolar,positive,2.9212073876621125,esolar
evil,negative,1.903807662450311,evil
example,positive,2.9212073876621125,example
explain,neutral,3.8704435543378155,explain
ezanu,negative,1.903807662450311,ezani
f*ck,negative,1.903807662450311,f*ck
fadzie,neutral,4.092835975674263,fursee
fans,positive,3.14359980899856,fans
female,neutral,4.355870381508057,female
fish,neutral,4.3558703815080575,fish
flat,positive,3.14359980899856,flat
folks,negative,1.903807662450311,folks
found,neutral,3.8704435543378155,found
fun,neutral,3.9408328822292136,fun
gafa,positive,2.895672295554975,genealogy
gaga,neutral,4.092835975674263,gaga
gardens,positive,3.1435998089985606,gardens
gateway,positive,2.9212073876621125,gateway
gave,positive,2.9509547310561643,gave
gedhi,positive,2.8805654031647667,gate
gem,negative,1.9038076624503113,gem
gochi,positive,3.14359980899856,The action is done
gondo,negative,1.903807662450311,eagle
gone,neutral,3.9408328822292136,gone
guka,negative,1.903807662450311,applied
gully,negative,1.9038076624503113,gully
gumiguru,positive,2.9212073876621125,October
gutsa,neutral,3.8704435543378155,satisfy
gwanda,positive,2.9915967155535106,papaka
gwetengwe,neutral,4.092835975674263,the corner
haapo,negative,1.903807662450311,is not there
hacho,negative,1.903807662450311,it is
haikwane,neutral,4.163225303565661,does not fit
hair,positive,2.9212073876621125,hair
haite,negative,1.903807662450311,packs
half,neutral,3.8704435543378155,half
hamudi,negative,1.903807662450311,you don't
handsome,positive,3.14359980899856,handsome
hapanawo,negative,1.903807662450311,There is nothing
harry,neutral,4.092835975674263,harry
hatfield,positive,3.14359980899856,hatfield
hatimire,neutral,4.3558703815080575,hatimire
hatisikumira,positive,3.14359980899856,we do not look
hauwani,neutral,3.8704435543378155,hawani
havafanire,neutral,3.8704435543378155,they should not
havatani,neutral,4.092835975674263,they do not
havazive,positive,2.9212073876621125,they don't know
hayi,neutral,3.9408328822292136,No
hazvipere,negative,1.903807662450311,it does not end
heeee,negative,1.903807662450311,heeee
hicc,positive,2.9831351368053145,hicc
highfield,positive,3.1435998089985606,highfield
hiv,negative,1.903807662450311,hiv
hofisi,positive,3.14359980899856,office
horny,negative,1.903807662450311,horny
humbimbindoga,negative,1.903807662450311,losebindoga
humbula,negative,1.903807662450311,cuggle
hunters,neutral,3.8704435543378155,hunters
hwavo,negative,1.903807662450311,their
hwema,positive,3.1435998089985606,the
icha,positive,3.1435998089985606,icha
ichienda,negative,1.903807662450311,it goes
ichikupa,positive,3.14359980899856,gives you
ichinzi,neutral,4.092835975674263,is called
ichiri,negative,1.903807662450311,it is still
ichoo,negative,1.903807662450311,itor
iharare,positive,3.14359980899856,is izarare
imbudzi,positive,3.14359980899856,a goat
imf,negative,1.903807662450311,imf
imhata,neutral,3.8704435543378155,import
imhosva,negative,1.903807662450311,it is a crime
imika,negative,1.903807662450311,now
imombe,neutral,3.9408328822292136,beam
industrial,positive,2.9915967155535106,industrial
ingawani,negative,1.903807662450311,can be
inonaka,positive,3.1435998089985606,delicious
inorarama,negative,1.903807662450311,lives
inosara,neutral,4.092835975674263,remains
inotengeswa,positive,3.1435998089985606,is sold
inovava,negative,1.903807662450311,becomes
insiza,positive,3.14359980899856,service
instead,positive,2.9212073876621125,instead
interchange,positive,2.8805654031647667,interchange
intern,positive,3.14359980899856,intern
inzwa,positive,3.14359980899856,senseless
ishe,positive,2.9509547310561643,Lord
jani,neutral,4.092835975674263,jani
jnr,neutral,4.092835975674263,jnr
joji,positive,3.1435998089985606,Joji
jongwe,neutral,4.092835975674263,cock
kake,neutral,4.092835975674263,you are
kamari,negative,1.903807662450311,yesterday
kamuri,positive,3.1435998089985606,room
kimmich,neutral,4.355870381508057,kimmich
kings,positive,2.9091345553615375,kings
korea,positive,3.0366846050820486,korea
kubhadara,negative,1.9038076624503113,bidara
kubhaibheri,neutral,4.3558703815080575,to the Bible
kubvuma,negative,1.903807662450311,to accept
kudonhedza,neutral,4.092835975674263,drop
kudzie,positive,2.8805654031647667,to sleep
kudzokera,negative,1.903807662450311,back
kudzorera,positive,2.9212073876621125,to retaliate
kuguma,positive,3.14359980899856,the end
kuhupenyu,positive,3.1435998089985606,to life
kuhwina,neutral,3.9408328822292136,win
kujekesa,negative,1.903807662450311,jecess
kukama,negative,1.903807662450311,cucumbers
kukudza,positive,2.9212073876621125,honor
kukuroora,positive,2.8805654031647667,marry you
kumaricho,neutral,4.092835975674263,to the latter
kumupedzanhamo,negative,1.903807662450311,Adding to Him
kumwa,negative,1.903807662450311,to drink
kunanzva,negative,1.903807662450311,lick
kungonzi,neutral,4.3558703815080575,just said
kungosasa,neutral,4.092835975674263,just camping
kunorapwa,negative,1.903807662450311,is treated
kunoroora,positive,3.1435998089985606,it is getting married
kunouya,positive,3.1435998089985606,comes
kunyangwe,neutral,4.092835975674263,even if
kunyepera,negative,1.903807662450311,to lie
kunyora,neutral,4.1859453800657445,to write
kunzwirwa,negative,1.903807662450311,be heard
kupfura,positive,3.14359980899856,shooting
kupota,negative,1.903807662450311,utter
kupusa,neutral,3.9408328822292136,cabbage
kurai,neutral,4.092835975674263,which
kurangarira,neutral,3.8704435543378155,to remember
kuremekedzwa,neutral,4.092835975674263,respected
kurepublic,positive,2.9915967155535106,kurepublic
kurota,positive,2.8805654031647667,dream
kurwadzisa,neutral,4.092835975674263,hurt
kushoropodza,negative,1.903807662450311,criticism
kusimuka,positive,3.14359980899856,getting up
kusura,negative,1.903807662450311,sorry
kusvirana,positive,2.9025917094947657,to have a partner
kusvitsa,positive,3.1435998089985606,to meet
kutarisa,neutral,4.092835975674263,to check
kutengeswa,positive,3.14359980899856,sold
kuteya,negative,1.903807662450311,bitch
kutipa,positive,3.1435998089985606,to give us
kutodya,negative,1.903807662450311,to eat
kutotenga,neutral,4.092835975674263,to buy
kutuma,negative,1.903807662450311,to send
kuuni,neutral,4.355870381508057,until the moon
kuvhara,negative,1.903807662450311,to close
kuwirirana,negative,1.903807662450311,correspondence
kuzungaira,negative,1.903807662450311,to wander
kwamutare,positive,2.895672295554975,tire
kwawo,neutral,3.8704435543378155,exclusive
kwenguva,positive,2.973674807556248,for a period of time
kwerudzi,neutral,4.092835975674263,of the nation
laura,neutral,4.092835975674263,laura
layer,negative,1.903807662450311,layer
ld,neutral,4.092835975674263,ld
left,negative,1.903807662450311,left
leonard,positive,2.9509547310561643,leonard
lessons,neutral,3.8704435543378155,lessons
levels,positive,2.973674807556248,levels
librao,neutral,3.8704435543378155,librao
lil,negative,1.903807662450311,lil
load,negative,1.9038076624503113,load
looking,positive,3.14359980899856,looking
lord,negative,1.903807662450311,lord
lunch,positive,3.14359980899856,lunch
maartist,neutral,4.092835975674263,artist
mabhero,negative,1.903807662450311,bells
machine,positive,2.9509547310561643,machine
magara,neutral,4.092835975674263,Magara
makanzi,negative,1.903807662450311,you are called
makes,negative,1.903807662450311,makes
makorokoto,positive,2.8805654031647667,congratulations
makudo,neutral,4.203867288063007,bye
makuru,positive,2.9025917094947657,great
malema,positive,2.9212073876621125,malema
malessons,neutral,4.092835975674263,malessons
mambokadzi,positive,2.9212073876621125,queen
manyama,positive,2.9212073876621125,MANY
manyenga,neutral,4.092835975674263,funnel
marights,positive,3.14359980899856,marights
mashaba,neutral,4.092835975674263,mashaba
mashanu,positive,3.1435998089985606,five
maside,positive,3.14359980899856,maside
mat,negative,1.903807662450311,mat
matanga,negative,1.903807662450311,kind
matayi,negative,1.903807662450311,the fourth
matsha,negative,1.9038076624503113,new
mave,negative,1.903807662450311,stomach
mayasi,negative,1.9038076624503113,Mayasi
mazimbabweans,negative,1.903807662450311,Zimbabweans
mazinga,neutral,3.9408328822292136,levels
mboro,negative,1.903807662450311,powers
meghan,negative,1.903807662450311,meghan
mevanhu,neutral,4.092835975674263,mere people
mharidzo,negative,1.903807662450311,message
mhoro,positive,2.9212073876621125,Hello
mibairo,neutral,4.033942286620695,rewards
mibvunzo,negative,1.903807662450311,Questions
microwave,negative,1.903807662450311,microwave
mifananidzo,positive,3.14359980899856,images
mimmz,neutral,4.00794707808775,Mimmz
mindset,neutral,3.8704435543378155,mindset
mines,neutral,4.3558703815080575,mines
missj,neutral,4.00794707808775,missj
mitengo,positive,2.9025917094947657,price-list
module,neutral,4.3558703815080575,module
monetsana,negative,1.903807662450311,monetsana
mothers,negative,1.903807662450311,mothers
mpofu,negative,1.903807662450311,poor
msg,neutral,4.3558703815080575,msg
mt,positive,3.1435998089985606,mt
mtc,neutral,4.092835975674263,mtc
muchero,positive,3.14359980899856,fruit
muchetura,neutral,3.9084114045368357,carriage
muchinda,neutral,3.993300302123349,prince
muchiri,negative,1.903807662450311,you still
mudare,positive,2.9509547310561643,court
muhighlands,positive,2.9509547310561643,Muhighlands
muhuni,neutral,4.092835975674263,in the wood
muhurombo,negative,1.903807662450311,in poverty
muimbi,positive,3.0060962852486255,singer
mujoina,negative,1.903807662450311,Mujoina
mukudzei,positive,3.1435998089985606,tell
mukugadzwa,neutral,4.092835975674263,In Appointment
mum,negative,1.903807662450311,mum
mumatunhu,positive,3.1435998089985606,in regions
mumota,negative,1.903807662450311,in a car
mumunda,neutral,4.092835975674263,in the field
mumuromo,negative,1.903807662450311,in the mouth
munashe,neutral,4.3558703815080575,in the Lord
munewlands,positive,3.14359980899856,munewlands
munhumutema,positive,3.14359980899856,a person
munoziva,negative,1.903807662450311,You know
munzeve,neutral,4.092835975674263,in the ear
muparty,negative,1.903807662450311,muparty
mupengo,negative,1.903807662450311,crazy
mupfungwa,negative,1.903807662450311,in mind
mupot,neutral,4.355870381508057,mung
musaise,neutral,3.8704435543378155,Muse
musika,neutral,3.8704435543378155,music
musisina,negative,1.903807662450311,no more
mutasa,negative,1.903807662450311,tough
mutengi,positive,3.1435998089985606,customer
mutinhimira,positive,3.1435998089985606,sound
mutsanangure,neutral,3.8704435543378155,explanate
muwashington,neutral,3.8704435543378155,in Washington
myself,negative,1.903807662450311,myself
myte,neutral,4.355870381508057,myth
na8,negative,1.903807662450311,na8
najob,neutral,4.092835975674263,salvation
nambuya,negative,1.903807662450311,Grandmother
napo,positive,2.9212073876621125,Napo
natezvara,neutral,4.092835975674263,with a father
ndadzidza,positive,3.14359980899856,I have learned
ndarota,neutral,3.8704435543378155,i dreamed
ndarwadziwa,negative,1.903807662450311,ndarwadziwa
ndatanga,neutral,3.8704435543378155,I've started
ndatenga,neutral,4.092835975674263,i bought
ndeyavo,negative,1.903807662450311,is their
ndichibvunza,neutral,4.3558703815080575,asking
ndinogara,positive,3.14359980899856,i live
ndive,negative,1.903807662450311,with
ndofarira,negative,1.903807662450311,I like
ndokupa,neutral,4.092835975674263,and gave
ndokwanisa,neutral,3.8704435543378155,I can
ndouya,positive,2.9212073876621125,will come
ndozvatiri,negative,1.903807662450311,That's what we're
nduwe,negative,1.903807662450311,nduwe
necessary,positive,2.9509547310561643,necessary
nechokwadi,positive,2.9212073876621125,Of course
necorruption,negative,1.903807662450311,necorruption
nekubirwa,negative,1.903807662450311,nekubirwa
nekunyepa,negative,1.903807662450311,nekunyepa
nekushaya,negative,1.903807662450311,by the lack of
nemadrinks,neutral,4.092835975674263,nemadrinks
nemhepo,positive,3.14359980899856,by wind
nemo,neutral,4.066363764313072,nemo
nemvura,positive,3.14359980899856,With water
nenhamo,negative,1.903807662450311,misery
nenhema,negative,1.9038076624503113,false
nenyama,negative,1.903807662450311,with meat
nenzizi,neutral,4.355870381508057,with rivers
nepo,neutral,4.355870381508057,Privilege
nepolice,neutral,3.8704435543378155,non -pionees
neshadaya,negative,1.903807662450311,neshadaya
neshungu,negative,1.903807662450311,with grief
net,neutral,3.8704435543378155,net
netone,negative,1.903807662450311,by tone
nezveiko,neutral,4.355870381508057,about what
nezviri,negative,1.903807662450311,with what
ngaabike,positive,3.1435998089985606,Ngā Korta
ngarivhume,negative,1.903807662450311,let it open
ngavasadaro,neutral,4.3558703815080575,may not
ngavasiyane,negative,1.903807662450311,let them depart
ngochani,negative,1.903807662450311,gays
nguvo,neutral,4.3558703815080575,a garment
nhando,neutral,4.13347796017161,thread
nhembe,neutral,4.066363764313072,the ladder
nhomba,neutral,4.092835975674263,boil
nhume,neutral,4.092835975674263,delegates
nhumwa,positive,3.0060962852486255,delegation
nicholas,positive,2.8805654031647667,nicholas
nightnurse,neutral,4.092835975674263,nightnurse
njovana,negative,1.903807662450311,njovana
nokugadzira,positive,3.1435998089985606,By making
nokuita,negative,1.903807662450311,by performance
nomukadzi,negative,1.903807662450311,with a woman
notice,neutral,4.3558703815080575,notice
nzwirai,neutral,4.3558703815080575,take to you
oda,negative,1.903807662450311,oda
opposite,positive,2.9212073876621125,opposite
outside,neutral,4.092835975674263,outside
oxnajneqyz,positive,3.14359980899856,Oxnajnqyz
pachikoro,negative,1.903807662450311,at school
pack,neutral,4.092835975674263,pack
package,positive,2.9509547310561643,package
padura,negative,1.903807662450311,marsh
paint,neutral,4.092835975674263,paint
pakufa,neutral,4.092835975674263,at death
pakutaura,negative,1.903807662450311,when speaking
palunch,negative,1.903807662450311,palunch
pamusha,positive,3.1435998089985606,at home
pamushandi,positive,3.14359980899856,at a staff
panhamba,positive,3.0281225915786245,on the number
papayaisa,negative,1.903807662450311,Papayaisa
paripo,neutral,4.092835975674263,it is available
parizvino,positive,3.14359980899856,at the moment
paside,negative,1.903807662450311,bottom
pasocialism,negative,1.903807662450311,pasocialism
pastage,neutral,4.092835975674263,pasture
pava,positive,3.1435998089985606,they are
pavo,positive,2.973674807556248,them
pazbc,neutral,4.092835975674263,pazbc
peaceful,positive,2.9509547310561643,peaceful
pedu,negative,1.903807662450311,to us
pedzezvo,negative,1.903807662450311,it is
peer,positive,2.9212073876621125,peer
percentage,negative,1.903807662450311,percentage
perish,negative,1.903807662450311,perish
petty,neutral,4.092835975674263,petty
pill,negative,1.903807662450311,pill
positions,neutral,4.092835975674263,positions
