token,token_en,pmi_label,lexicon_sign,contexts,llm_prompt
#registertovote,#registertovote,positive,0,"[""@kamunda_fainos @ccc_harare @advocatemahere @Cde_Ostallos @nelsonchamisa @MutasaPeter @CucsmanM @Hannah61804866 @NgarivhumeJacob @politemadz …"", ""Postcard kubva kuHarare East Constituency.\r\n\r\nChinangwa chedu pakungotsiva panzvimbo pakuona kweZanu mune mamwe mazuva mazuva asi asi asi ku …"", ""Chinokosha ndechekusimudzira #RegisterToVote uye kuhotera @nelsonchamisa. Chatinoda zviri kushandiswa neparamende. Nyaya kuVoter muchizviita …""]","You are helping annotate a multilingual sentiment lexicon.
Word: #registertovote
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): positive.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
#rip,#rip,positive,0,"[""Mutsvene Gumi Apinda Mutsaona Yemota munhu mumwe chete afa\r\n#holyten #Accidents #rip #Harare #shadaya #nelsonchamisa #chamisa\r\n#lovely #sans …"", ""Iwe wakatisiya, asi kwete kubva pamwoyo yedu.\r\nRest in peace Mai Sorobhi (Rhoda Mtembe)\r\n\r\n#celebritynews #RIP #maisorobhi\r\n#parafini\r\n#Mhsr …"", ""Tarisai mafees edu matsva kuHwindi itsva takaona kudonha kwemafuta emafuta.\r\n\r\nBhuka tekisi, odha chikafu vanhu!\r\n\r\nAndroid 👉🏽https://t.co/G …""]","You are helping annotate a multilingual sentiment lexicon.
Word: #rip
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): positive.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
#shoko2022,#shoko2022,neutral,0,"[""The Roast of Temba Mliswa featuring \r\nCde Fatso @ComradeFatsooo\r\nHeavenly Army Commander @talentmadungwe \r\nBaba Cassette - @bustoptv \r\n\r\nDat …"", ""The Roast of Temba Mliswa featuring \r\nCde Fatso @ComradeFatsooo\r\nHeavenly Army Commander @talentmadungwe \r\nBaba Cassette - @bustoptv \r\n\r\nDat …"", ""Baba Ma Twins vanenge varipo pa Roast of Temba Mliswa on the 30 of September \r\n #TheHubZW #Shoko2022 #PARTYcipate\r\n\r\nTickets $5 Chete \r\n\r\n@b …""]","You are helping annotate a multilingual sentiment lexicon.
Word: #shoko2022
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): neutral.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
#skyryanproperties,#skyryanproperties,positive,0,"[""Commercial Property to Rent in Chisipite - USD 4,000/pm\r\n #SkyRyanProperties #PropertybookZW https://t.co/uyRYwrseDM"", ""Commercial Property to Rent in Kamfinsa - USD 850/pm\r\n #SkyRyanProperties #PropertybookZW https://t.co/Mv4oDA96fu"", ""Commercial Property to Rent in Willowvale - USD 3,000/pm\r\n #SkyRyanProperties #PropertybookZW https://t.co/iHuJKo69iR""]","You are helping annotate a multilingual sentiment lexicon.
Word: #skyryanproperties
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): positive.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
#thehubzw,#TheHubzw,neutral,0,"[""The Roast of Temba Mliswa featuring \r\nCde Fatso @ComradeFatsooo\r\nHeavenly Army Commander @talentmadungwe \r\nBaba Cassette - @bustoptv \r\n\r\nDat …"", ""The Roast of Temba Mliswa featuring \r\nCde Fatso @ComradeFatsooo\r\nHeavenly Army Commander @talentmadungwe \r\nBaba Cassette - @bustoptv \r\n\r\nDat …"", ""Baba Ma Twins vanenge varipo pa Roast of Temba Mliswa on the 30 of September \r\n #TheHubZW #Shoko2022 #PARTYcipate\r\n\r\nTickets $5 Chete \r\n\r\n@b …""]","You are helping annotate a multilingual sentiment lexicon.
Word: #thehubzw
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): neutral.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
#zanupfmustgo,#zanupfumstgo,negative,0,"[""Zviri munamati kuna Marry Mubaiwa Chiwenga moto. Kurudziro kuroro kuroro matambudziko ewanano uye kukwira hunhu hwaGeneral Chiwenga (iye aka …"", ""@USEmbZim @USTreasury Sungai vanhu vajaira kuita madiro a Georgina muZimbabwe #fakapressure #ZanuPFMustGo #PamberiNemaSanctions #AnotherOneB …"", ""Musaiswe pressure. ava havasi vanhu vanotumira mweya, angove magora ari kuita hutsotsi hwakarongwa muZimbabwe. Imbavha vanhu vese varikuti E …""]","You are helping annotate a multilingual sentiment lexicon.
Word: #zanupfmustgo
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): negative.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
$30,$30,neutral,0,"[""@brown_gugu @CccNap @CccSupporters @ProfJNMoyo @100_zanu @ParliamentZim $30 huku\r\n$9000 laptop"", ""@brown_gugu @CccNap @CccSupporters @ProfJNMoyo @100_zanu @ParliamentZim $30 huku\r\n$9000 laptop"", ""@brown_gugu @CccNap @CccSupporters @ProfJNMoyo @100_zanu @ParliamentZim $30 huku\r\n$9000 laptop""]","You are helping annotate a multilingual sentiment lexicon.
Word: $30
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): neutral.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
$60,$60,positive,0,"[""Mabhegi ake\r\nYakatumirwa pachena nemhepo kumba > $60\r\n@redmarketsunday #redmarketsunday https://t.co/FeSPALNkjc"", ""Mabhandi uye wallet ndiyo yezvipo seti. Yakatumirwa pachena nemhepo kumba > $60\r\n@redmarketsunday #redmarketsunday https://t.co/nFnvpO7Nxv"", ""Zvipo kuremekedza vakakwana 😍\r\nYakatumirwa pachena nemhepo kumba > $60\r\n@redmarketsunday #redmarketsunday https://t.co/4RIRVxGRfN""]","You are helping annotate a multilingual sentiment lexicon.
Word: $60
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): positive.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
*,,positive,0,"[""@ZengezaThree @ChipokochaDrogo @Tinoedza1 Joji mushina isu basa uyu. Ndinovimba kuti achatora basa rekudzidzisa muzuva & media- * chinangwa* …"", ""Huya nacho pano ndikuvhurire nzira yekuenda kuHarare🌽\""*\r\n\r\n😹😹😹Zanu haasivo ega matsosti tinavo vaidaro vamwe pano\r\n\r\nDrop yours 😹😹"", ""@ZengezaThree @ChipokochaDrogo @Tinoedza1 Joji mushina isu basa uyu. Ndinovimba kuti achatora basa rekudzidzisa muzuva & media- * chinangwa* …""]","You are helping annotate a multilingual sentiment lexicon.
Word: *
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): positive.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
00,00,neutral,0,"[""@hatiperi_wacho 1991 ndakabhadhara Zim$9000.00 pamwe nemombe 5 ndichiripa mombe pamusara. 3tsika havadi mari. Uye vana vangu vachaita ndicha …"", ""@hatiperi_wacho 1991 ndakabhadhara Zim$9000.00 pamwe nemombe 5 ndichiripa mombe pamusara. 3tsika havadi mari. Uye vana vangu vachaita ndicha …"", ""@MhuriroFarai @joseph_kalimbwe Asi unoreva tambo chete dzakaiswa Zimbabwe magetsi hatichaazivi anoenda na 5 a.m. odzoka 22:00 tavata vana va …""]","You are helping annotate a multilingual sentiment lexicon.
Word: 00
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): neutral.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
07,07,neutral,0,"[""@Huggo_07 @thaslickpastor Havasi mantuckshop e ecocash kaha aaya"", ""@Huggo_07 @thaslickpastor Havasi mantuckshop e ecocash kaha aaya"", ""@Huggo_07 @thaslickpastor Havasi mantuckshop e ecocash kaha aaya""]","You are helping annotate a multilingual sentiment lexicon.
Word: 07
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): neutral.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
08,08,neutral,0,"[""@Axecure_sneaker 09:08 Zimbabwe School of Mines Bulawayo"", ""@Axecure_sneaker 09:08 Zimbabwe School of Mines Bulawayo"", ""@Axecure_sneaker 09:08 Zimbabwe School of Mines Bulawayo""]","You are helping annotate a multilingual sentiment lexicon.
Word: 08
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): neutral.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
100%,100%,neutral,0,"[""Mhedzisiro Mast Ive Yakaderera kune yemwana mudiki uye 2 % yababa saka pane inotarisisa hupfumi 100%! https://t.co/75FzLbdUpS"", ""Varaidzo nemaartist zvechisimba yezvechivi. Ini pane chimwe chinhu chinodiwa nebasa rako kune imwe, semuenzaniso, kana iwe uchinge uchinge u …"", ""Varaidzo nemaartist zvechisimba yezvechivi. Ini pane chimwe chinhu chinodiwa nebasa rako kune imwe, semuenzaniso, kana iwe uchinge uchinge u …""]","You are helping annotate a multilingual sentiment lexicon.
Word: 100%
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): neutral.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
13,13,positive,0,"[""13 Apo anogadzirira Mai Sorobi, ech es ech es essons dziripo dziripo dziripo dziripo kuti igadziriswe, ibasa rekugadzirira semutambi uye mug …"", ""13 Apo anogadzirira Mai Sorobi, dziripo kuti igadziriswe, ibasa rekugadzirira semutambi uye mugadzirise wekugadzirisa. Vazhinji vedu tinofa  …"", ""@wode_maya 12. Leonard Zhakata\r\n13. Leonard Dembo\r\n14. James Chimombe\r\n15.Lovemore Majaivana\r\n16.Solomon Skhuza \r\n17. Fanyana Dube\r\n18. Tong …""]","You are helping annotate a multilingual sentiment lexicon.
Word: 13
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): positive.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
1998,1998,neutral,0,"[""@Super_Bhibho @BorisCde @MalemaZw @OMasaraure @ngadziore @TereraiSithole @JosephNyamayaro @KFRMugayi @ZimEye @LHNewsZimbabwe @paulmuchemwa2  …"", ""@Super_Bhibho @BorisCde @MalemaZw @OMasaraure @ngadziore @TereraiSithole @JosephNyamayaro @KFRMugayi @ZimEye @LHNewsZimbabwe @paulmuchemwa2  …"", ""@Super_Bhibho @BorisCde @MalemaZw @OMasaraure @ngadziore @TereraiSithole @JosephNyamayaro @KFRMugayi @ZimEye @LHNewsZimbabwe @paulmuchemwa2  …""]","You are helping annotate a multilingual sentiment lexicon.
Word: 1998
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): neutral.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
207,207,positive,0,"[""☎️Call/App Simba pa0776 207 276\r\n🖱️ Tinya kana Bata iyo WhatsApp icon\r\n🚚Mahara Kuendeswa kuHarare, Chitungwiza neBulawayo. Iwe unongobhadhar …"", ""Avalon Farm ipurazi muZimbabwe uye rakadzika mamita 1,207. Avalon Farm iri pedyo ne Kawahove, uye maodzanyemba akakadziva mutsa kwe Saint Iv …"", ""Avalon Farm ipurazi muZimbabwe uye rakadzika mamita 1,207. Avalon Farm iri pedyo ne Kawahove, uye maodzanyemba akakadziva mutsa kwe Saint Iv …""]","You are helping annotate a multilingual sentiment lexicon.
Word: 207
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): positive.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
2am,2am,negative,0,"[""@pfupa81 @hwendec @nelsonchamisa ndakanyora tsvina yangu ndichibvisa Mbuya vane makore 81 ekuzvarwa asiri paTwitter, vane dare irikuiswa pan …"", ""@highnessbae Saturday around 2am was approached pachaka kwachirumanzu nemumwe musikana achi chema was supposed kupiwa pekurara aburuka bhazi …"", ""@pfupa81 @hwendec @nelsonchamisa ndakanyora tsvina iyi ndichibvisa Mbuya vane makore 81 ekuzvarwa asiri paTwitter, vane marongero arikuiswa  …""]","You are helping annotate a multilingual sentiment lexicon.
Word: 2am
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): negative.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
33,33,neutral,0,"[""@ShadayaKnight Haaa pakuzoti baba Harare musadaroo! Ndopandipedzera.\r\n\r\nZvakambobvunzurudza nebvunzi, kune zvinonyadzisa zvinokwanisika kufe …"", ""@Mr_S_Joe Haaa izvi zvanga zviri pachena... tweet ya Susan haiite 33 comments only baba""]","You are helping annotate a multilingual sentiment lexicon.
Word: 33
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): neutral.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
39,39,positive,0,"[""Gore rino, sarusingo remhuri mhuri dzinosvika pakusvika matatu. VaAnxious Masuka, 20 20 20 20 20 20 30 39 39 39 39 30 30 kurima nekugariswa  …"", ""#Match14 | Nekuda kwake 39-bhora 96 paakakunda Harare Kings, @trmarumani mazuvano Mubairo Wemutambo.\r\n\r\n9⃣ guma\r\n7⃣ vamabili\r\n\r\n#GPZvHRK | # …""]","You are helping annotate a multilingual sentiment lexicon.
Word: 39
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): positive.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
40k,40k,neutral,0,"[""@sibert_takawira @i_rocky10 @ZimViral Zvinopfuura nzira baba coz chidhinha chimwe chinomirira pakati pe30k - 40k https://t.co/Bl5Z1r3QVp"", ""@sibert_takawira @i_rocky10 @ZimViral Zvinopfuura nzira baba coz chidhinha chimwe chinomirira pakati pe30k - 40k https://t.co/Bl5Z1r3QVp"", ""@sibert_takawira @i_rocky10 @ZimViral Zvinopfuura nzira baba coz chidhinha chimwe chinomirira pakati pe30k - 40k https://t.co/Bl5Z1r3QVp""]","You are helping annotate a multilingual sentiment lexicon.
Word: 40k
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): neutral.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
5am,5am,negative,0,"[""@ZetdcOfficial @ZimEye @ZBCNewsonline @officialzpc @PowerTelZW @NewsDayZimbabwe Haaa matadza shuwa,here in Beitbridge anoenda na 5am odzoka  …"", ""@RealTalkFadzie 5am kwakuchiri kudzoka kumba here 😂😂😂. Hanzi hakuna munhu anorwadziwa nekubirwa kudarika mbavha. Sorry zvenyu"", ""@ZetdcOfficial @ZimEye @ZBCNewsonline @officialzpc @PowerTelZW @NewsDayZimbabwe Haaa matadza shuwa,here in Beitbridge anoenda na 5am odzoka  …""]","You are helping annotate a multilingual sentiment lexicon.
Word: 5am
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): negative.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
5kg,5kg,neutral,0,"[""@diodata_Zw ahh inini ndasarwa neless than 5kg kupinda 100 ndakusiya chikafu"", ""@diodata_Zw ahh inini ndasarwa neless than 5kg kupinda 100 ndakusiya chikafu"", ""@diodata_Zw ahh inini ndasarwa neless than 5kg kupinda 100 ndakusiya chikafu""]","You are helping annotate a multilingual sentiment lexicon.
Word: 5kg
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): neutral.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
70,70,neutral,0,"[""@Mambosha4 @daddyhope @zinaraZW @cmatewu @JMafume Saka hausi vanhu vanosvika 70 miriyoni mazuvano vanhu iyo 70 here chibaba .....iwe neni le …"", ""@Mambosha4 @daddyhope @zinaraZW @cmatewu @JMafume Saka hausi vanhu vanosvika 70 miriyoni mazuvano vanhu iyo 70 here chibaba .....iwe neni le …"", ""Mhedzisiro Mast Ive Yakaderera kune 30 % yemwana mudiki uye 70 % yababa saka pane inotarisisa hupfumi 100%! https://t.co/75FzLbdUpS""]","You are helping annotate a multilingual sentiment lexicon.
Word: 70
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): neutral.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
