token,label,PMI,freq,class_freq
kudzokera,negative,1.903807662450311,10,10
theories,negative,1.903807662450311,6,6
nezviri,negative,1.903807662450311,6,6
vachiramba,negative,1.903807662450311,5,5
christ,negative,1.903807662450311,5,5
pasocialism,negative,1.903807662450311,6,6
pedzezvo,negative,1.903807662450311,5,5
takambo,negative,1.903807662450311,6,6
@richardtawanda,negative,1.903807662450311,10,10
microwave,negative,1.903807662450311,5,5
neshadaya,negative,1.903807662450311,6,6
necorruption,negative,1.903807662450311,5,5
משפחת,negative,1.903807662450311,13,13
musisina,negative,1.903807662450311,6,6
bloody,negative,1.903807662450311,5,5
wekuda,negative,1.903807662450311,6,6
@elliotlinksync,negative,1.903807662450311,10,10
ndeyavo,negative,1.903807662450311,6,6
עד,negative,1.903807662450311,27,27
kunorapwa,negative,1.903807662450311,5,5
palunch,negative,1.903807662450311,6,6
vhoti,negative,1.903807662450311,9,9
munoziva,negative,1.903807662450311,6,6
@alpha,negative,1.903807662450311,6,6
vapera,negative,1.903807662450311,6,6
@sire,negative,1.903807662450311,5,5
tatenda,negative,1.903807662450311,6,6
sungai,negative,1.903807662450311,6,6
lord,negative,1.903807662450311,9,9
prefect,negative,1.903807662450311,5,5
abuser,negative,1.903807662450311,5,5
varwadziwa,negative,1.903807662450311,5,5
yechibage,negative,1.903807662450311,5,5
wechikadzi,negative,1.903807662450311,5,5
@takudzwamac,negative,1.903807662450311,6,6
unotoshaya,negative,1.903807662450311,5,5
anedzungu,negative,1.903807662450311,6,6
ndarwadziwa,negative,1.903807662450311,5,5
ichoo,negative,1.903807662450311,6,6
matanga,negative,1.903807662450311,9,9
kujekesa,negative,1.903807662450311,5,5
sekunge,negative,1.903807662450311,6,6
matayi,negative,1.903807662450311,5,5
vachida,negative,1.903807662450311,9,9
@bellamelz12,negative,1.903807662450311,6,6
agadzirise,negative,1.903807662450311,5,5
nenhamo,negative,1.903807662450311,5,5
@kingmhare1,negative,1.903807662450311,6,6
waiziva,negative,1.903807662450311,5,5
mat,negative,1.903807662450311,6,6
zvega,negative,1.903807662450311,10,10
njovana,negative,1.903807662450311,10,10
ain,negative,1.903807662450311,6,6
nambuya,negative,1.903807662450311,6,6
அழைத்துக்கொண்டு,negative,1.903807662450311,6,6
@munamati7,negative,1.903807662450311,6,6
unogwara,negative,1.903807662450311,5,5
akangofanana,negative,1.903807662450311,5,5
raanoenda,negative,1.903807662450311,6,6
ezanu,negative,1.903807662450311,6,6
na8,negative,1.903807662450311,5,5
spin,negative,1.903807662450311,6,6
f*ck,negative,1.903807662450311,6,6
mupengo,negative,1.903807662450311,5,5
unotoita,negative,1.903807662450311,5,5
mave,negative,1.903807662450311,9,9
vakuenda,negative,1.903807662450311,5,5
ziya,negative,1.903807662450311,6,6
hwavo,negative,1.903807662450311,9,9
kuzungaira,negative,1.903807662450311,11,11
toxic,negative,1.903807662450311,11,11
@realhusband1,negative,1.903807662450311,6,6
siyayi,negative,1.903807662450311,5,5
@hermanmashaba,negative,1.903807662450311,5,5
vange,negative,1.903807662450311,5,5
riinhi,negative,1.903807662450311,5,5
tega,negative,1.903807662450311,5,5
mupfungwa,negative,1.903807662450311,5,5
chichauraya,negative,1.903807662450311,6,6
vakapfeka,negative,1.903807662450311,10,10
uripo,negative,1.903807662450311,6,6
mumuromo,negative,1.903807662450311,6,6
makes,negative,1.903807662450311,5,5
rinojairira,negative,1.903807662450311,5,5
ichienda,negative,1.903807662450311,6,6
vanoshora,negative,1.903807662450311,5,5
pedu,negative,1.903807662450311,9,9
zvikwereti,negative,1.903807662450311,5,5
akaromba,negative,1.903807662450311,5,5
dzekwababa,negative,1.903807662450311,5,5
vamboita,negative,1.903807662450311,5,5
netone,negative,1.903807662450311,6,6
pakutaura,negative,1.903807662450311,5,5
@tawandachiware3,negative,1.903807662450311,6,6
@mavasaobey,negative,1.903807662450311,10,10
sanction,negative,1.903807662450311,5,5
imika,negative,1.903807662450311,10,10
paside,negative,1.903807662450311,5,5
muhurombo,negative,1.903807662450311,5,5
vakajaidzwa,negative,1.903807662450311,5,5
vachijola,negative,1.903807662450311,6,6
kubvuma,negative,1.903807662450311,14,14
@mcchenje,negative,1.903807662450311,6,6
2am,negative,1.903807662450311,6,6
@nicksonmpofu,negative,1.903807662450311,6,6
mutasa,negative,1.903807662450311,5,5
bbe,negative,1.903807662450311,10,10
folks,negative,1.903807662450311,5,5
humbula,negative,1.903807662450311,6,6
humbimbindoga,negative,1.903807662450311,5,5
guka,negative,1.903807662450311,5,5
அவன்,negative,1.903807662450311,9,9
savage,negative,1.903807662450311,6,6
@yellowzimbabwe,negative,1.903807662450311,14,14
kuwirirana,negative,1.903807662450311,5,5
dhodhi,negative,1.903807662450311,13,13
unongowona,negative,1.903807662450311,5,5
rezviyo,negative,1.903807662450311,6,6
nokuita,negative,1.903807662450311,6,6
@lordsalisburry,negative,1.903807662450311,6,6
horny,negative,1.903807662450311,9,9
imf,negative,1.903807662450311,6,6
atadza,negative,1.903807662450311,5,5
@netonecellular,negative,1.903807662450311,6,6
hacho,negative,1.903807662450311,5,5
myself,negative,1.903807662450311,5,5
chirega,negative,1.903807662450311,5,5
unongoona,negative,1.903807662450311,6,6
oda,negative,1.903807662450311,9,9
meghan,negative,1.903807662450311,6,6
vachigadzira,negative,1.903807662450311,5,5
@tirimusango,negative,1.903807662450311,5,5
kusura,negative,1.903807662450311,5,5
nzwirai,neutral,4.3558703815080575,8,8
kungonzi,neutral,4.3558703815080575,7,7
notice,neutral,4.3558703815080575,8,8
ngavasadaro,neutral,4.3558703815080575,8,8
drawing,neutral,4.3558703815080575,8,8
buat,neutral,4.3558703815080575,8,8
anobika,neutral,4.3558703815080575,10,10
@tinotendaphile2,neutral,4.3558703815080575,5,5
hatimire,neutral,4.3558703815080575,5,5
nguvo,neutral,4.3558703815080575,5,5
@villageman263,neutral,4.3558703815080575,12,12
munashe,neutral,4.3558703815080575,5,5
rabies,neutral,4.3558703815080575,5,5
prie,neutral,4.3558703815080575,12,12
chigodo,neutral,4.3558703815080575,8,8
module,neutral,4.3558703815080575,5,5
@dialo,neutral,4.3558703815080575,8,8
kubhaibheri,neutral,4.3558703815080575,12,12
remashoko,neutral,4.3558703815080575,5,5
vaka,neutral,4.3558703815080575,5,5
msg,neutral,4.3558703815080575,8,8
fish,neutral,4.3558703815080575,8,8
@phillip,neutral,4.3558703815080575,8,8
ndichibvunza,neutral,4.3558703815080575,5,5
tag,neutral,4.3558703815080575,5,5
roast,neutral,4.3558703815080575,5,5
@chris79016670,neutral,4.3558703815080575,8,8
mines,neutral,4.3558703815080575,8,8
vadii,neutral,4.355870381508057,6,6
@michaelbucwa,neutral,4.355870381508057,6,6
nezveiko,neutral,4.355870381508057,6,6
kuuni,neutral,4.355870381508057,6,6
@messangerbro,neutral,4.355870381508057,6,6
kimmich,neutral,4.355870381508057,6,6
@zwolugazwothed,neutral,4.355870381508057,6,6
@luciferstar,neutral,4.355870381508057,6,6
anonwa,neutral,4.355870381508057,6,6
mupot,neutral,4.355870381508057,6,6
tichikura,neutral,4.355870381508057,6,6
myte,neutral,4.355870381508057,6,6
female,neutral,4.355870381508057,6,6
nenzizi,neutral,4.355870381508057,6,6
zviye,neutral,4.355870381508057,6,6
akapfuma,neutral,4.355870381508057,6,6
tasvika,neutral,4.355870381508057,6,6
nepo,neutral,4.355870381508057,6,6
vakanyarara,neutral,4.355870381508057,6,6
award,neutral,4.355870381508057,6,6
uchinge,neutral,4.33511182134126,69,68
makudo,neutral,4.203867288063007,9,8
@theavengerzwl,neutral,4.203867288063007,9,8
remitemo,neutral,4.203867288063007,9,8
kunyora,neutral,4.1859453800657445,8,7
vanoisa,neutral,4.1859453800657445,17,15
tengerai,neutral,4.163225303565661,7,6
haikwane,neutral,4.163225303565661,7,6
dza,neutral,4.163225303565661,7,6
shady,neutral,4.163225303565661,7,6
reshadaya,neutral,4.163225303565661,7,6
attacking,neutral,4.163225303565661,7,6
dzidzai,neutral,4.163225303565661,7,6
akatadza,neutral,4.163225303565661,7,6
stanley,neutral,4.163225303565661,7,6
08,neutral,4.163225303565661,7,6
rev,neutral,4.1494195040406305,14,12
քրիստոս,neutral,4.13347796017161,6,5
bans,neutral,4.13347796017161,6,5
@marrionmubawu,neutral,4.13347796017161,6,5
aitwa,neutral,4.13347796017161,6,5
dzikamai,neutral,4.13347796017161,6,5
quad,neutral,4.13347796017161,6,5
nhando,neutral,4.13347796017161,6,5
diaries,neutral,4.13347796017161,6,5
vawanda,neutral,4.13347796017161,6,5
wembudzi,neutral,4.13347796017161,6,5
rudzi,neutral,4.107942868064471,18,15
romance,neutral,4.092835975674263,5,4
laura,neutral,4.092835975674263,5,4
1998,neutral,4.092835975674263,5,4
vafundisi,neutral,4.092835975674263,5,4
kurai,neutral,4.092835975674263,5,4
kungosasa,neutral,4.092835975674263,5,4
tizivane,neutral,4.092835975674263,5,4
jani,neutral,4.092835975674263,5,4
pastage,neutral,4.092835975674263,5,4
gaga,neutral,4.092835975674263,5,4
natezvara,neutral,4.092835975674263,5,4
tevera,neutral,4.092835975674263,5,4
@bradelyboy,neutral,4.092835975674263,5,4
najob,neutral,4.092835975674263,5,4
pakufa,neutral,4.092835975674263,5,4
kumaricho,neutral,4.092835975674263,5,4
kudonhedza,neutral,4.092835975674263,5,4
petty,neutral,4.092835975674263,5,4
vanotarisira,neutral,4.092835975674263,5,4
twins,neutral,4.092835975674263,5,4
vaigona,neutral,4.092835975674263,5,4
manyenga,neutral,4.092835975674263,5,4
mashaba,neutral,4.092835975674263,5,4
chivharo,neutral,4.092835975674263,5,4
temba,neutral,4.092835975674263,5,4
fadzie,neutral,4.092835975674263,5,4
jongwe,neutral,4.092835975674263,5,4
yekut,neutral,4.092835975674263,5,4
yadonha,neutral,4.092835975674263,5,4
positions,neutral,4.092835975674263,5,4
ecocash,neutral,4.092835975674263,5,4
kunyangwe,neutral,4.092835975674263,5,4
damn,neutral,4.092835975674263,5,4
wee,neutral,4.092835975674263,5,4
5kg,neutral,4.092835975674263,5,4
jnr,neutral,4.092835975674263,5,4
adzingwa,neutral,4.092835975674263,5,4
outside,neutral,4.092835975674263,5,4
ichinzi,neutral,4.092835975674263,5,4
nhomba,neutral,4.092835975674263,5,4
yakaruma,neutral,4.092835975674263,5,4
kwerudzi,neutral,4.092835975674263,5,4
mukugadzwa,neutral,4.092835975674263,5,4
tumirai,neutral,4.092835975674263,5,4
inosara,neutral,4.092835975674263,5,4
07,neutral,4.092835975674263,5,4
rasberry,neutral,4.092835975674263,5,4
buri,neutral,4.092835975674263,5,4
kuremekedzwa,neutral,4.092835975674263,5,4
munzeve,neutral,4.092835975674263,5,4
@therealbigtee1,neutral,4.092835975674263,5,4
romantic,neutral,4.092835975674263,5,4
@lovemore070,neutral,4.092835975674263,5,4
mevanhu,neutral,4.092835975674263,5,4
nightnurse,neutral,4.092835975674263,5,4
mtc,neutral,4.092835975674263,5,4
@itsstartup,neutral,4.092835975674263,5,4
akanyarara,neutral,4.092835975674263,5,4
cr7,neutral,4.092835975674263,5,4
#africa,neutral,4.092835975674263,5,4
vaibika,neutral,4.092835975674263,5,4
@crussymalvin,neutral,4.092835975674263,5,4
vaipfeka,neutral,4.092835975674263,5,4
dreams,neutral,4.092835975674263,5,4
akuna,neutral,4.092835975674263,5,4
kutotenga,neutral,4.092835975674263,5,4
dzevamwe,neutral,4.092835975674263,5,4
paripo,neutral,4.092835975674263,5,4
arikupi,neutral,4.092835975674263,5,4
havatani,neutral,4.092835975674263,5,4
nemadrinks,neutral,4.092835975674263,5,4
paint,neutral,4.092835975674263,5,4
vachidzidza,neutral,4.092835975674263,5,4
ndatenga,neutral,4.092835975674263,5,4
nhume,neutral,4.092835975674263,5,4
#shoko2022,neutral,4.092835975674263,5,4
$30,neutral,4.092835975674263,5,4
malessons,neutral,4.092835975674263,5,4
maartist,neutral,4.092835975674263,5,4
kake,neutral,4.092835975674263,5,4
mumunda,neutral,4.092835975674263,5,4
similar,neutral,4.092835975674263,5,4
@auzy,neutral,4.092835975674263,5,4
kurwadzisa,neutral,4.092835975674263,5,4
chakazara,neutral,4.092835975674263,5,4
role,neutral,4.092835975674263,5,4
vanobvumirana,neutral,4.092835975674263,5,4
ndokupa,neutral,4.092835975674263,5,4
@tawazwilson,neutral,4.092835975674263,5,4
yaanayo,neutral,4.092835975674263,5,4
@rno,neutral,4.092835975674263,5,4
pazbc,neutral,4.092835975674263,5,4
walzy,neutral,4.092835975674263,5,4
woisa,neutral,4.092835975674263,5,4
chopenga,neutral,4.092835975674263,5,4
@ladenraww,neutral,4.092835975674263,5,4
@marvelous,neutral,4.092835975674263,5,4
@eargroundzw,neutral,4.092835975674263,5,4
zvinoshamisa,neutral,4.092835975674263,11,9
magara,neutral,4.092835975674263,5,4
#partycipate,neutral,4.092835975674263,5,4
harry,neutral,4.092835975674263,5,4
zvinokuita,neutral,4.092835975674263,5,4
@whatsup,neutral,4.092835975674263,5,4
gwetengwe,neutral,4.092835975674263,5,4
kutarisa,neutral,4.092835975674263,5,4
anemakore,neutral,4.092835975674263,5,4
ld,neutral,4.092835975674263,5,4
toga,neutral,4.092835975674263,5,4
akarwa,neutral,4.092835975674263,5,4
pack,neutral,4.092835975674263,5,4
vachirova,neutral,4.092835975674263,5,4
muhuni,neutral,4.092835975674263,5,4
aye,neutral,4.066363764313072,10,8
tozoona,neutral,4.066363764313072,10,8
nhembe,neutral,4.066363764313072,10,8
varikutiza,neutral,4.066363764313072,10,8
@ekayzee,neutral,4.066363764313072,10,8
nemo,neutral,4.066363764313072,10,8
response,neutral,4.066363764313072,10,8
@thaslickpastor,neutral,4.066363764313072,10,8
00,neutral,4.033942286620695,24,19
100%,neutral,4.033942286620695,9,7
70,neutral,4.033942286620695,9,7
mibairo,neutral,4.033942286620695,9,7
mimmz,neutral,4.00794707808775,13,10
missj,neutral,4.00794707808775,13,10
33,neutral,4.00794707808775,13,10
royal,neutral,3.993300302123349,8,6
dj,neutral,3.993300302123349,8,6
@denfordngadzio1,neutral,3.993300302123349,8,6
vanosvika,neutral,3.993300302123349,8,6
@omasaraure,neutral,3.993300302123349,8,6
muchinda,neutral,3.993300302123349,8,6
@sabhuku,neutral,3.993300302123349,8,6
@sheconquers4,neutral,3.993300302123349,8,6
seriously,neutral,3.993300302123349,8,6
@tinei2010,neutral,3.9773587582543275,12,9
vanotaura,neutral,3.9773587582543275,12,9
context,neutral,3.9408328822292136,11,8
@emteeen,neutral,3.9408328822292136,11,8
ripi,neutral,3.9408328822292136,11,8
kupusa,neutral,3.9408328822292136,7,5
hayi,neutral,3.9408328822292136,7,5
@leninroger,neutral,3.9408328822292136,7,5
imombe,neutral,3.9408328822292136,7,5
kuhwina,neutral,3.9408328822292136,11,8
though,neutral,3.9408328822292136,11,8
gone,neutral,3.9408328822292136,11,8
fun,neutral,3.9408328822292136,11,8
@dave,neutral,3.9408328822292136,7,5
akafanana,neutral,3.9408328822292136,7,5
vakabva,neutral,3.9408328822292136,7,5
@jaisonshazhiwe,neutral,3.9408328822292136,7,5
auction,neutral,3.9408328822292136,11,8
mazinga,neutral,3.9408328822292136,11,8
solar,neutral,3.9408328822292136,7,5
muchetura,neutral,3.9084114045368357,14,10
@boriscde,neutral,3.9033581768105505,25,18
@anti,neutral,3.8704435543378155,6,4
@sibert,neutral,3.8704435543378155,6,4
@eddie,neutral,3.8704435543378155,6,4
found,neutral,3.8704435543378155,6,4
lessons,neutral,3.8704435543378155,6,4
ndarota,neutral,3.8704435543378155,6,4
#thehubzw,neutral,3.8704435543378155,6,4
@frcombo,neutral,3.8704435543378155,6,4
kurangarira,neutral,3.8704435543378155,6,4
dzirimo,neutral,3.8704435543378155,6,4
akataurirwa,neutral,3.8704435543378155,6,4
mutsanangure,neutral,3.8704435543378155,6,4
chibhoyi,neutral,3.8704435543378155,6,4
anytime,neutral,3.8704435543378155,6,4
explain,neutral,3.8704435543378155,6,4
hunters,neutral,3.8704435543378155,6,4
40k,neutral,3.8704435543378155,6,4
zvinotengeswa,neutral,3.8704435543378155,6,4
yapa,neutral,3.8704435543378155,6,4
@arthur85026546,neutral,3.8704435543378155,6,4
imhata,neutral,3.8704435543378155,6,4
@hellen,neutral,3.8704435543378155,6,4
direct,neutral,3.8704435543378155,6,4
vazive,neutral,3.8704435543378155,6,4
kwawo,neutral,3.8704435543378155,6,4
librao,neutral,3.8704435543378155,6,4
hauwani,neutral,3.8704435543378155,6,4
half,neutral,3.8704435543378155,6,4
ndatanga,neutral,3.8704435543378155,6,4
@elonmusk,neutral,3.8704435543378155,6,4
@faffienesongano,neutral,3.8704435543378155,6,4
musaise,neutral,3.8704435543378155,6,4
@sharlene898,neutral,3.8704435543378155,6,4
mindset,neutral,3.8704435543378155,6,4
@sarahtaye81,neutral,3.8704435543378155,6,4
akusi,neutral,3.8704435543378155,6,4
@ruth9027,neutral,3.8704435543378155,6,4
tinawo,neutral,3.8704435543378155,6,4
@piersmorgan,neutral,3.8704435543378155,6,4
nepolice,neutral,3.8704435543378155,6,4
tiudze,neutral,3.8704435543378155,6,4
musika,neutral,3.8704435543378155,6,4
@tonde,neutral,3.8704435543378155,6,4
muwashington,neutral,3.8704435543378155,6,4
ndokwanisa,neutral,3.8704435543378155,6,4
deadly,neutral,3.8704435543378155,6,4
define,neutral,3.8704435543378155,6,4
tee,neutral,3.8704435543378155,6,4
@dandepartners,neutral,3.8704435543378155,6,4
@costmillions,neutral,3.8704435543378155,6,4
double,neutral,3.8704435543378155,6,4
@mhurirofarai,neutral,3.8704435543378155,6,4
net,neutral,3.8704435543378155,6,4
zvamutori,neutral,3.8704435543378155,6,4
banking,neutral,3.8704435543378155,6,4
@bernsoft2,neutral,3.8704435543378155,6,4
@kaviyagertrude,neutral,3.8704435543378155,6,4
gutsa,neutral,3.8704435543378155,6,4
havafanire,neutral,3.8704435543378155,6,4
takawirirana,neutral,3.8704435543378155,6,4
semuenzaniso,neutral,3.8704435543378155,6,4
@ishemagos,neutral,3.8704435543378155,6,4
vachipihwa,neutral,3.8704435543378155,6,4
@alwyn,neutral,3.8704435543378155,6,4
urionline,neutral,3.8704435543378155,6,4
tinoendesa,positive,3.1435998089985606,5,5
yamuka,positive,3.1435998089985606,5,5
usaita,positive,3.1435998089985606,5,5
brooke,positive,3.1435998089985606,5,5
gardens,positive,3.1435998089985606,5,5
zvinonaka,positive,3.1435998089985606,5,5
77,positive,3.1435998089985606,11,11
inotengeswa,positive,3.1435998089985606,11,11
thirsty,positive,3.1435998089985606,5,5
hwema,positive,3.1435998089985606,5,5
redz,positive,3.1435998089985606,5,5
inonaka,positive,3.1435998089985606,10,10
arikurova,positive,3.1435998089985606,5,5
atone,positive,3.1435998089985606,5,5
vatambi,positive,3.1435998089985606,5,5
repeat,positive,3.1435998089985606,5,5
kunoroora,positive,3.1435998089985606,5,5
kutipa,positive,3.1435998089985606,5,5
nokugadzira,positive,3.1435998089985606,5,5
😹😹😹😹,positive,3.1435998089985606,5,5
anokunda,positive,3.1435998089985606,5,5
@arniek25aarnold,positive,3.1435998089985606,10,10
bhule,positive,3.1435998089985606,5,5
#rip,positive,3.1435998089985606,5,5
bulilima,positive,3.1435998089985606,5,5
pamusha,positive,3.1435998089985606,10,10
если,positive,3.1435998089985606,5,5
kamuri,positive,3.1435998089985606,5,5
sharo,positive,3.1435998089985606,5,5
kunouya,positive,3.1435998089985606,5,5
yeafrima,positive,3.1435998089985606,5,5
zondo,positive,3.1435998089985606,5,5
yemukati,positive,3.1435998089985606,5,5
highfield,positive,3.1435998089985606,5,5
systems,positive,3.1435998089985606,5,5
@tinashechirape,positive,3.1435998089985606,5,5
#legacyrealestate,positive,3.1435998089985606,5,5
🙏,positive,3.1435998089985606,5,5
chinoita,positive,3.1435998089985606,5,5
*,positive,3.1435998089985606,5,5
သို့,positive,3.1435998089985606,5,5
@david7zoe,positive,3.1435998089985606,5,5
@mitchie,positive,3.1435998089985606,5,5
bread,positive,3.1435998089985606,5,5
39,positive,3.1435998089985606,5,5
ngaabike,positive,3.1435998089985606,5,5
prayer,positive,3.1435998089985606,5,5
english,positive,3.1435998089985606,5,5
mukudzei,positive,3.1435998089985606,5,5
winning,positive,3.1435998089985606,5,5
congrats,positive,3.1435998089985606,10,10
mumatunhu,positive,3.1435998089985606,5,5
mashanu,positive,3.1435998089985606,5,5
mt,positive,3.1435998089985606,5,5
eharare,positive,3.1435998089985606,5,5
mutengi,positive,3.1435998089985606,5,5
rinonaka,positive,3.1435998089985606,5,5
unozoona,positive,3.1435998089985606,5,5
achahwina,positive,3.1435998089985606,5,5
صوت,positive,3.1435998089985606,5,5
sunungukai,positive,3.1435998089985606,5,5
kuhupenyu,positive,3.1435998089985606,5,5
@irvinesz,positive,3.1435998089985606,5,5
mutinhimira,positive,3.1435998089985606,5,5
common,positive,3.1435998089985606,5,5
chikomba,positive,3.1435998089985606,5,5
kusvitsa,positive,3.1435998089985606,5,5
