text,label,text_en
@ThaCART28499955 @CalmFreeboy @zayvjames @RealTalkFadzie Eh ini ndaenda chisarai muchitukira vanhu hupenyu hwavo 😂,negative,@ThaCART28499955 @CalmFreeboy @zayvjames @RealTalkFadzie Oh I'm gone don't stay insulting people's lives 😂
"@lodzaro @baba_nyenyedzi Taurai kublack market.

Isu Rega timbo fara zvedu.

Յիսուս ըսաւ անոր.",positive,"@lodzaro @baba_nyenyedzi Talk to the black market.

Let's have a little fun.

ישוע שאו אנור."
Kupa amai vako mazimari kuti vasawudze vanhu kuti nhumbu ndeyako. https://t.co/1V7zCBh0fM,neutral,Giving your mother money so that she won't tell people that the pregnancy is yours. https://t.co/1V7zCBh0fM
"@ourSimbarashe Ehekaka, isu ma landers. Unenge we City iwe vana mafikizolo",neutral,"@ourSimbarashe Ehekaka, we landers. You are from the City, you fikizolo children"
@magic_wacho Hauzi wakuitisa vanhu here wangu,negative,@magic_wacho Aren't you leading people?
@Melsowethu Ummmm chero ndimiwo sisi baba naamai vachiona mwana akadhakwa kudai vanodemba zuva ravakazvitanga kuti muvepo ........ummmmmm musadaro makafitwa nekutoimba murikumberi mu church...mwari ngaakuitirei nyasha muzive nzira yakanaka AMEN,negative,"@Melsowethu Ummmm I'm the same sister, father and mother watching a child who is drunk and they regret the day they started for you to be there........ummmmmm don't be like that you got drunk singing in front of the church...may god bless you and know the right way AMEN"
"Fear of God Essentials Hoody (Silicon Print) 

💲US85

#Essentials
#Theplug
#Zimbabwe @ Harare, Zimbabwe https://t.co/aProLwjJaH",positive,"Fear of God Essentials Hoody (Silicon Print)

💲US85

#Essentials
#Theplug
#Zimbabwe @ Harare, Zimbabwe https://t.co/aProLwjJaH"
"@vinnysf_ @historyinmemes @bosswala @ChitupaAyidhie

Honawo kuri kuwanika mwana wevhu😂😂😂😂",positive,"@vinnysf_ @historyinmemes @bosswala @ChitupaAyidhie

There is also a child of the earth 😂😂😂😂"
@MCMISH05 @Bellamelz12 @t_kachidza Saka unoda kudya cashel valley yemahara,negative,@MCMISH05 @Bellamelz12 @t_kachidza So you want to eat cashel valley for free
@daddyhope Kkkk varakashi vana VA satan,negative,@daddyhope Kkkkk these four are satan
"@NowAvailable21 @kingveshto @magic_wacho Aaaaah, uyu munhu ndrikumuziva…pastor, asi maitwa plastic surgery yeFace isiri yenyu😂😂😂 https://t.co/Q5Z6b4WcF8",negative,"@NowAvailable21 @kingveshto @magic_wacho Aaaaah, this is a person I know...pastor, but you got plastic surgery for a face that's not yours😂😂😂 https://t.co/Q5Z6b4WcF8"
@akeem_sekenya Word bro!! Unotomuka uchinzwa dzungu nenzara haaaaa ndopatichatanga kudya vanhu ipapa aaah,neutral,"@akeem_sekenya Word bro!! You wake up feeling dizzy and hungry, haaaaa, that's when we start eating people"
Unenge watoenda zvako kunovhota wowana everything chiri vice versa. Emerson Chamisa ..... Nelson Munangagwa unovhotera Ani?,neutral,You have already gone to vote and found everything is vice versa. Emerson Chamisa ..... Nelson Munangagwa Who do you vote for?
@SmurfMinion @Mshollah @mobile_tech_zim @antomukuwa Baba tine vanhu vanoenda kuDubai every week saka ukandiudza kuti ndizive pane  shop here.😂😂😂😂,positive,@SmurfMinion @Mshollah @mobile_tech_zim @antomukuwa Dad we have people going to Dubai every week so can you tell me if there is a  shop.😂😂😂😂
"@TembaMliswa Pakaipa apa wangu, corruption yacho inoshamisa.

Vana vevhu ngatinyorese tose kuvhota.",negative,"@TembaMliswa My bad, the corruption is amazing.

Children of the earth, let's all register to vote."
"@SmangoVacho @ShadayaKnight @mr_zim_fit Zvagara mukwasha anobvisa zvaakareva.

Chero akauya ndinyorei kumusana what matters is that auya. Chero akangosvika akabata mbudzi. Munoti vabereki hava reason here.The family will still appreciate him zvasiya nekungotora mwana wevanhu motochaya mapoto.

Ndicho chiito",negative,"@SmangoVacho @ShadayaKnight @mr_zim_fit Usually the brother-in-law takes back what he said.

If he comes, write me on the back what matters is that he has come. As soon as he arrived, he held a goat. You say that the parents have no reason. The family will still appreciate him for taking the children of the people in a car.

That's action"
@NomaSapienTR Seriously I see hangu vanhu pano paBird app vachitamba nenyaya iyi but gosh it's highly sensitive. In classification terms inowira pasi pe TOP SECRET kkkkkkkkk,neutral,"@NomaSapienTR Seriously, I see people here on Bird app playing with this issue but gosh it's highly sensitive. In classification terms it falls under TOP SECRET kkkkkkkkk"
"@KMutisi Wabva rinhi kumusha usingazizive kuti Zanupf inodzvanyirira vanhu????

Kanakuti unoziziva zvako urikuita seunopenga????",negative,"@KMutisi When did you leave home without knowing that Zanupf oppresses people????

Or do you know yourself and you are acting crazy????"
"@lleony Ok tashaya zvedu RIP ne in Loving Memory of, but munhu uyu atorimupenyu here?",neutral,"@lleony Ok we are gone RIP and in Loving Memory of, but is this person still alive?"
@i_am_chantel22 😂😂😂😂😂 vatovhurira mukana mukana in the name of hustling,positive,@i_am_chantel22 😂😂😂😂😂 they have already opened up an opportunity in the name of hustling
"@Stizzy_That_Guy Aka kanembiri yeku blocker vanhu aka
Ndaa kakazoibvisa tint yacho hameno",negative,"@Stizzy_That_Guy This is a double blocker for these people
Then I removed the tint, I wonder"
@Mundirangarireo @TateTee89 @ElliotLinksync @ShadayaKnight makono bhobho hadzisi hunobva paruzivo rwose. Hunhu hunoita kufevedzera kufevesa. Sekuona kwangu 79% yevakadzi vanoita..... Kwte kungoti tika. Semunhu akaita grade 7 chete,negative,"@Mundiyamulereo @TateTee89 @ElliotLinksync @ShadayaKnight these words are not based on all knowledge. A quality that makes you smell good. In my opinion, 79% of women do..... It's not just for fun. As someone who only did grade 7"
Man this is bad rega zvinzi usavimbe nemunhu. Shadaya akandiita kuti ndisatenda murudo apa everyday dzotouchanise color yembatya dzekupfeka 😥😥😥 https://t.co/wA7FqKdlHv,positive,"Man this is bad, don't trust anyone. Shadaya made me not believe in love, every day they match the color of the clothes to wear 😥😥😥 https://t.co/wA7FqKdlHv"
"Unobva wasangana vari baba vako neka youngste, haaa all i know is baba havana ngozi 🤞🏼 https://t.co/0aPBpsO16D",positive,"Then you meet your father and youngster, haha ​​all I know is father is safe 🤞🏼 https://t.co/0aPBpsO16D"
@amukawu52 kusvika machema,negative,@amukawu52 until you cry
@chadira86 Tinosizvireva pano vamwe vofunga kuti taguta waini itsva!!! Vanhu ingovai nechimiro nekusazvizvidza kuti vanotevera vaone semucherechedzo!!!!,positive,@chadira86 We don't mean it here and some people think we are full of new wine!!! People just have a style and don't look down on yourself so that those who follow will see it as a sign!!!!
@zanupf_patriots Inga akabuda achit akubata re Zanu....plus misangano ndeye vanhu anoinda kwaada,neutral,@zanupf_patriots Inga came out and called you Zanu.... plus meetings are for people who go where they want
@TheOwnGoat @kinglyself Angoriwo mashoko ekuzvinyaradza aya Mukoma,negative,"@TheOwnGoat @kinglyself These are just words of comfort, Brother"
"@Denzoo99 @daddyhope Tichaona Putin, Biden, Obama unozvipa zita. Sei muchida kuti ED aiteda uye imi vanhu 🤷 uyu ndinofanira kunyorwa kuti ipera kwete weclub ccc.",negative,"@Denzoo99 @daddyhope We'll see Putin, Biden, Obama you name it. Why do you want ED to love it and you people 🤷 this should be written to end not club ccc."
@thabanimnyama Akuda kuenda kuBritian mfanha uyu ndamuona,neutral,@thabanimnyama I saw this guy who wants to go to Britain
@blak_immigrant @fortunechasi @waltermzembi @HHichilema Ahhh Walter is just another Kasuwere and Jonathan..... Vakadzingwa muZANUPF vakashaya zvekuita zvinodzoka kuita all nice..... Kikikiki...... Ndozvazvinoita kana wanga wajaira kudya tax payers money,negative,@blak_immigrant @fortunechasi @waltermzembi @HHichilema Ahhh Walter is just another Kasuwere and Jonathan..... They were kicked out of ZANUPF and they had nothing to do and it's all nice..... Kikikiki...... That's what happens when you're used to eating tax payers money
"Vanhu vanoisa Instagram vanobata avo paTL vachiti ""please follow me on Instagram"", <<<<<<",neutral,"People who post Instagram contact those on TL saying ""please follow me on Instagram"", <<<<<<"
@LynneStactia Mudhara ane mweya wengozi chaiwo uyu nxaaa,negative,@LynneStactia This old man has a very dangerous spirit
"@nickmangwana @cohsunshinecity Nyika inoputswa nevene vayo..
Tikunzwei muchiti Harare yakasviba futi and start blaming CHAMISA.",negative,"@nickmangwana @cohsunshinecity The world is destroyed by its own people..
Hear us saying that Harare is dirty again and start blaming CHAMISA."
"@tawanda_gomo @mutami_susan #Citizens zvanaSuzie hazviteedzerwi, she wld hv been paid nanaChamisa & his handlers to speak ill of the Zim leadership manje vakanyura, dzoserwai mari yenyu chamisa muipe @cohsunshinecity atakurise marara hake Harare icheneo",positive,"@tawanda_gomo @mutami_susan #Citizens like Suzie are not being followed, she wld hv been paid by Chamisa & his handlers to speak ill of the Zim leadership now they have sunk, give your money back Chamisa and give @cohsunshinecity to pick up the garbage but Harare is empty"
@BeholdTendai @JSamanyara @EdmundKudzayi Kuti ndiye Mwari kana airamba kumuona vanhu tinovhotera munhu watinoda.Chamisa ndiye arikurira,positive,"@BeholdTendai @JSamanyara @EdmundKudzayi That he is God, if people refused to see him, we would vote for the person we like."
@TapiBobo @hbanhire Kuba kusvika road yakunzi ine zvimaKangai,positive,@TapiBobo @hbanhire Steal until the road is said to have Kangai
@ourSimbarashe @RossiPenyayi Unenge uchiita kunge imbwa yapinda muchurch. Vanhu ngavatsvage ma base ari secure for such engagements,negative,@ourSimbarashe @RossiPenyayi You look like a dog has entered the church. People should look for secure bases for such engagements
@NomaSapienTR the concept of the beans dzotonzwisa nzara wapedza kudya,positive,@NomaSapienTR the concept of the beans will make you hungry after eating
@lionel_sauro Haaaaaaa vanhu ava soooo,neutral,@lionel_sauro Haaaaaaa these people are soooo
@zivanai1991 student anotakura vanhu here,neutral,Does @zivanai1991 student transport people?
@washymarkus @tha_boy_tinky @reuphanuel Vanhu vari horny shuwa coz hayii mhani https://t.co/IWyFiVejT7,negative,@washymarkus @tha_boy_tinky @reuphanuel People are horny shuwa coz what's up man https://t.co/IWyFiVejT7
@tawanda_gomo Vana vangu ndiombererei maoko ndakutengerai chingwa nemazai nhasi🤣🤣🤣,positive,"@tawanda_gomo My children, please give me a hand when I bought you bread and eggs today🤣🤣🤣"
@Mukanya_Ndini @Dhahomey_Asante @Chi_Town_Wacho vanhu veku boarding ndovamwe vakapusa 😂😂😂,positive,@Mukanya_Ndini @Dhahomey_Asante @Chi_Town_Wacho boarding people are stupid 😂😂😂
@darozvi Sadza $5 mari tichienda ndokuti sadza asi mu _$10 anything else tenge takutobhowa,neutral,@darozvi Pay $5 money as we go and he said pay but in _$10 anything else let's buy it
CCC @CCCZimbabwe inokumbira kumutungamiri wekutungamirira mukufambisa mukufambisa nhema mhondi. Kukumbira kuvigwa kunouya mushure mekunge vatsividze nemhosva. Kusanyara! @USEmbZim @UKinZimbabwe @euinzim @CanEmbZimbabwe https://t.co/BHMcOaYobP,positive,CCC @CCCZimbabwe appeals to the leader to lead the way in spreading lies and murder. The request for burial comes after they have avenged the crime. Shameless! @USEmbZim @UKinZimbabwe @euinzim @CanEmbZimbabwe https://t.co/BHMcOaYobP
@Kays_wacho @mutserendende Munhu anotadza kudya sadza nema feelings epa twitter  kaa 😹,negative,@Kays_wacho @mutserendende A person who can't eat satza with feelings on twitter kaa 😹
@chitowamombe14 Kudzidzira umlando tiri vanhu vechirume.,neutral,@chitowamombe14 Learning history as men.
@_dxffodil Vanonyima vanhu ivavo,negative,@_dxffodil They deprive those people
Join @MissDonna001 na @baba_vako live izvozvi kusvika 6pm paStar FM https://t.co/fln6ryzaO5,negative,Join @MissDonna001 and @baba_vako live now until 6pm on Star FM https://t.co/fln6ryzaO5
@Millycent03 Akatadza shuga shuga ozogona Shadaya here,neutral,@Millycent03 He failed sugar sugar then can Shadaya
@HarareNdini @BabaHarare1 Asi ane matwitter here magumboots a'baba' vako nhaiwe Harare wacho,negative,@HarareNdini @BabaHarare1 But does your 'daddy' gumboots have a Twitter account?
"@MudharaNzou Dwadwa - ka baby ka nyama

😂😂",positive,"@MudharaNzou Dwadwa - ka baby ka nyama

😂😂"
"CHEBLY rino ARC Team iri kubatana neKadoma City Health kumutambo weAll Councilors’ Indaba urimunaMwiri. Chikwata chiri madokero nezveSRHR, GBV neDevolution nevakuru venzvimbo. https://t.co/6yrntMLCcv",positive,"CHEBLY this year the ARC Team is collaborating with Kadoma City Health at the All Councilors' Indaba event in Mwiri. The team is in the west about SRHR, GBV and Devolution with local authorities. https://t.co/6yrntMLCcv"
@NdimloUnathi Tirikunwa mvura 😭,negative,@NdimloUnathi We are drinking water 😭
@EmTeeEn_ Fun Cargo inopinda vanhu 16.,neutral,@EmTeeEn_ Fun Cargo fits 16 people.
@tnash_kucci Ko kna ndine nzara,neutral,@tnash_kucci Why am I hungry?
@juice_world_zw Nzvimbo iri muHarare inonzi Binga,negative,@juice_world_zw The place in Harare is called Binga
"@TereraiSithole 1. Kuenderera mberi nekupara mhosva kwaJobho & kusvirwa kuti pasina kunyorwa hakuna kururama
2.Musanganiswa wenyaya wezvematongerwo enyika nekupazamisa kutaridzirwa nenhaurirano paED naChamisa
3.Chitungwiza kunyora mugwara asi ROAD BLOCKADE & HAZARD HAIGWIRIRWI",neutral,"@TereraiSithole 1. Job's continued crime & being burned without writing is wrong
2. A mix of political issues and wide attention to the discussion on ED and Chamisa
3. Chitungwiza to write in the road but ROAD BLOCKADE & HAZARD IS NOT AVAILABLE"
"@zimstat Trade deficit or unfavorable balance of trade for that other country we trading with, or edu adzika coz mukutorera vanhu zvinhu pa boarder.",negative,"@zimstat Trade deficit or unfavorable balance of trade for that other country we trade with, or ours has decreased coz in taking things from people at the boarder."
@NicholasDuma10 Ende vanhu kukwereta huku soo,negative,@NicholasDuma10 Go borrow chickens too
@lawrencechings @MakomboreroH @daddyhope @ChesangoAbel @hwendec @nelsonchamisa @CCCZimbabwe @Zinasuzim @alistarpfunye18 Kkkk vana vembwa havasvinure musi mumwe chete,negative,@lawrencechings @MakomboreroH @daddyhope @ChesangoAbel @hwendec @nelsonchamisa @CCCZimbabwe @Zinasuzim @alistarpfunye18 Lol puppies don't wake up on the same day
@Tino__Sk @Tafadzwa____ Panodikwa futi vano taster chikafu. Unoisirwa muchetura because of violence yepanapa. Munhu naye akatokutaimira,positive,@Tino__Sk @Tafadzwa____ Food tasters are also needed. You are poisoned because of violence. Someone has already waited for you
@kudzai_1 Wabika chikafu chako wega nevana iye anenge akaguta wangu,negative,"@kudzai_1 You cook your own food with the children, and mine is full"
"ndine kubvunza
""",negative,"I have a question
"""
@t_kachidza @takuceri 25 inga uri mwana https://t.co/AbQ4epv4dp,negative,@t_kachidza @takuceri 25 like you are a child https://t.co/AbQ4epv4dp
"Pamusoroi vana baba naanamai, varairidzi nemi moooose makandipa nzeve. Dakumbokuitiraiwo detembo rangu rinonzi... https://t.co/ltKlLHffl3",positive,"Forgive me fathers and mothers, coaches and all of you who gave me an ear. I also wrote a poem for you called... https://t.co/ltKlLHffl3"
@nickmangwana Pamunoinda kwamarange munotsvaka ma votes chete hamuvakurudziri kubayisa vana,negative,"@nickmangwana When you go to kwamarange, you are only looking for votes, you don't encourage them to vaccinate children"
@penzura_wacho @starboy10_zw @_MissE1 I don't really care bro vanhu ndozvavari azvitizike😂😂,neutral,@penzura_wacho @starboy10_zw @_MissE1 I don't really care bro people are what they are run away😂😂
"@zimbeliefs Aaah ,nhasi regai ndidye sadza rangu ndakanyarara. Kuda chaiko kkkk",positive,"@zimbeliefs Aaah, today let me eat my bread in silence. I really like it"
@Arniek25Aarnold @DailyLoud @MALUVAMALVERN Ndozvavanoda hake uyu,positive,@Arniek25Aarnold @DailyLoud @MALUVAMALVERN That's what they want
"Queen Elizabeth II vakadya chikoro chePrince Edward muHarare. Anomuperekedza ndiye mukuru wechikoro, VaClive Barnes.
Zuva: Gumiguru 12, 1991
📸Jimmy Salani
Kwakabva: @ZimpapersCentre https://t.co/judJZeDqPs",negative,"Queen Elizabeth II visited Prince Edward's school in Harare. Accompanying him is the headmaster, Mr. Clive Barnes.
Date: October 12, 1991
📸Jimmy Salani
Source: @ZimpapersCentre https://t.co/judJZeDqPs"
"@Mug2155 @BarakaZaire I dnt see reason for celebrating death of a 96 yr old, the person hv lives to the fullest asi dai afa achine 40 or so, akararama kusvika kuupenyu. ഇല്ലോ",negative,"@Mug2155 @BarakaZaire I dnt see reason for celebrating death of a 96 yr old, the person hv lives to the fullest but if he died at 40 or so, he lived to the fullest. no"
"@alpha_phalpha @Manhims28854924 Saka kuti zvaitokufaira kukumbira kufona
Ini I call anytime any second and handidi zvekujairirwa kusvika pakunzi usafona or what
Zvemjolo handiite, if I sense any slight of mjolo aaah ndovhara ipapo",negative,"@alpha_phalpha @Manhims28854924 So you had to ask for a call
I call anytime any second and I don't want to get used to being told not to call or what
I don't do anything about mjolo, if I feel any slight of mjolo aaah I close it right there"
@CdeNMaswerasei @tichtakawira Kumba kupi yandisina kumboona 😂😂😂,positive,@CdeNMaswerasei @tichtakawira Somewhere I've never seen before 😂😂😂
"@PPC_Africa Samsung Galaxy A53 5G 
Available Instore | Only $390
12 Months Warranty
Free Home and Office Delivery in Harare
Contact Sales | 0780773357

#techinc #techinczw #Harare #smartphonesinharare #SamsungA53
#Zimbabwe #trending #explorepage #techzim #galaxystore #iclickzw #samsungzw https://t.co/D127HuEwqa",negative,"@PPC_Africa Samsung Galaxy A53 5G
Available Instore | Only $390
12 Months Warranty
Free Home and Office Delivery in Harare
Contact Sales | 0780773357

#techinc #techinczw #Harare #smartphonesinharare #SamsungA53
#Zimbabwe #trending #explorepage #techzim #galaxystore #iclickzw #samsungzw https://t.co/D127HuEwqa"
@realhusband1 @_itneverrains_ Ehee vanhu vanosiyana uye mafamilies anosiyana. I would love to believe kuti ndikauya ne2k for your Sis munototi muface ari right here uyu,negative,"@realhusband1 @_itneverrains_ Yes people are different and families are different. I would love to believe that if I bring 2k for your Sis, you will say in your face, is this right?"
"the other day driving this one,ndak omuti chiburuka unokwira mot yamai vavari right ivana...Arghhhhh https://t.co/jqDItboyZW",positive,"the other day driving this one, I told you to get off and go up the mot of my mother who is right with the children...Arghhhhh https://t.co/jqDItboyZW"
@ShadayaKnight Mukuwanza nyama yeTsuro  mutumwa,neutral,@ShadayaKnight In abundance Rabbit meat is a messenger
"@MrChelton_ Bvisa Mr pazita rako, uri mwana",positive,"@MrChelton_ Get the Mr out of your name, you child"
Vana sisi vedu murikuzvihwa here izvi https://t.co/KZLZbcjpqU,neutral,"Our sisters, do you know this? https://t.co/KZLZbcjpqU"
@i_nkalakhata @BlackSupremacyQ Y'all's varikufa nemabhora eblue vachijamba nekuti tave kuonana kuti haufanirwe kupereka nerudo rwedu... all thanks to Shadaya the cat,negative,@i_nkalakhata @BlackSupremacyQ Y'all are dying with blue balls jamming because we see each other that you don't have to give away our love... all thanks to Shadaya the cat
@ccc_harare @nelsonchamisa @Cde_Ostallos @advocatemahere @citizenactionz @CCCDiaspora Zvekumama izvo mnangagwa a ma million emari kuti aparadze Chamisa wozoti peruzeze vana marujata ku UK anogona kuparadza CCC na @nelsonchamisa ndiko kuda kubereka mai nemboro uku 😂😂😂😂😂😂,negative,"@ccc_harare @nelsonchamisa @Cde_Ostallos @advocatemahere @citizenactionz @CCCDiaspora For the sake of motherhood, what Mnangagwa has spent millions of money to destroy Chamisa and then say that the children of the UK can destroy the CCC and @nelsonchamisa is the desire to give birth to this mother and daughter 😂😂😂😂😂😂"
"@MudharaNzou Vanotsamwira Shadaya, but havatsamwire Uebert Angel kana Magaya🤣",negative,"@MudharaNzou They are angry with Shadaya, but they are not angry with Uebert Angel or Magaya🤣"
@ZimHRNGOForum Ngafire mujeri ikozvino ana Chamisa vatodavirwa foni neSADC yose iye ari mujeri,positive,@ZimHRNGOForum Let him die in prison now that Chamisa has already been answered by the entire SADC while he is in prison
@tapiwajk Champion hanzi naPresident Chamisa ukama igasva unozadziswa nekudanana kwete kudya,positive,"@tapiwajk Champion hanzi and President Chamisa, a relationship is a relationship that is fulfilled by love, not food"
@_MakdShelby Vanhu vachiri kuTestwa??,neutral,@_MakdShelby People are still being tested??
But mamwe mazita amunopa vana ndevanhu vakuru ... imagine uchinhotora Ruben kucreche😂,positive,But some of the names you give children are adults... imagine taking Ruben to creche😂
@Bartholomewfish @HStvNews @daddyhope avoooo vana vadaddy vatokabira 😂😂😂,negative,@Bartholomewfish @HStvNews @daddyhope avoooo daddy's kids are already stealing 😂😂😂
"@NMushangwe @KMutisi @Charega1 @nelsonchamisa @rangamataire @VictoriaRuzvid2 @SundayMailZim @HeraldZimbabwe Anogadzira magadziridzo magadziridzo ekugadzirwa, tunnel uye kupi muZimbabwe kusimudzira hupenyu hwechinhanho.

Haisi googled mafoto ezvivakwave nekubva kune chero kutumirwa muhupfumi.

Ngaatange anonga tsvina iri mu Harare😂 https://t.co/oX1drkt7rf",negative,"@NMushangwe @KMutisi @Charega1 @nelsonchamisa @rangamataire @VictoriaRuzvid2 @SundayMailZim @HeraldZimbabwe He is making improvements in construction, tunnels and elsewhere in Zimbabwe to improve the quality of life.

It is not googled photos of buildings and from any posting in the economy.

Let him first clean up the dirt in Harare😂 https://t.co/oX1drkt7rf"
"@greyzephyr1 Ko asi Bota hamuna kudya henyu here?  (In Tinashe Mugabe's voice)

Munyaviri wangu unopera don't worry.🤣🤣",negative,"@greyzephyr1 What about Bota, haven't you eaten yet? (In Tinashe Mugabe's voice)

My love is gone don't worry.🤣🤣"
"@RealTalkFadzie Hauna nyaya mdara. Mai ngavaaende kumusha, muwane mubatsiri ndimutsigire kubva ikoko. Aive nemukana wekuva neimba yake;",positive,"@RealTalkFadzie You have no problem. Let the mother go home, find a helper and support her from there. He had the opportunity to have his own house;"
@WaltJackman 11yrs old ndapedza kufudza mombe,neutral,@WaltJackman 11yrs old I finished herding cattle
@girlfromZim @MarvellousTonde @nickmangwana Marry Chiwenga humbowo hwebasa rondedzero🤪,positive,@girlfromZim @MarvellousTonde @nickmangwana Marry Chiwenga proof of work list 🤪
@elonmusk @innoe0912 @JitoKayumba @SpaceX And ​​​​Zimbabwe please please baba Musk.,positive,@elonmusk @innoe0912 @JitoKayumba @SpaceX And ​​​​​​Zimbabwe please please baba Musk.
"@tabanimcgucci Vatambi, musina vemitambo, vaimbi midzi vanoda rubatsiro mukuronga mari/kuverenga. Mabasa avo mapfupi and also vanoita mari vachiri vana vadiki.",positive,"@tabanimcgucci Actors, non-athletes, roots musicians need help with budgeting/accounting. Their jobs are short and they also make money when they are young."
@RealTalkFadzie Vana vakakosha...ukacherechedza izvozvo unobatsirika,positive,@RealTalkFadzie Children are important... if you notice that you will benefit
Vanhu vanoswera vachirwa Hondo vari paPhone,negative,People are on the phone all day fighting the war
